RespondentID,CollectorID,StartDate,EndDate,IP Address,Email Address,First Name,LastName,Custom Data,Please enter the 5 character code for the Fellow in the email you received from our office.,"As a result of hiring this Fellow, I was able to staff my school with a higher quality teacher that I may otherwise have had access to.","Based on what you've observed about this Fellow so far, how would you rate their current performance on NYC’s Danielson Framework for Teaching?",Planning and Preparation,The Classroom Environment,Instruction,Professional Responsibilities,How does this Teaching Fellow’s performance compare to other first-year teachers you’ve worked with?,What is your current job title?,Other (please specify),Please feel free to share any additional information about his/her performance.,"What resources do you wish you had, if any, to better support NYC Teaching Fellows during their first year in the classroom?"
5280114878,96128144,3/9/2017,3/9/2017,165.155.200.122,,,,,51289,Agree,Developing,Somewhat Agree,Agree,Somewhat Agree,Agree,Above Average,Assistant Principal,,,
5275346556,96128144,3/6/2017,3/6/2017,69.122.8.72,,,,,51206,Strongly Agree,Effective,Agree,Strongly Agree,Agree,Agree,Top 10%,Assistant Principal,,"This particular teacher has disciplined resilience in support of student success, and exhibits the passion and patience for our student population! ",   I would recommend more pre-conferences for potential fellows and admins of special needs schools. 
5275344860,96128144,3/6/2017,3/6/2017,69.122.8.72,,,,,51225,Strongly Agree,Effective,Agree,Agree,Agree,Strongly Agree,Top 10%,Assistant Principal,,"This particular teacher has disciplined resilience in support of student success, and exhibits the passion and patience for our student population!  ",I would recommend more pre-conferences for potential fellows and admins of special needs schools. 
5274964415,96128144,3/6/2017,3/6/2017,165.155.200.120,,,,,51236,Agree,Effective,Agree,Somewhat Agree,Somewhat Agree,Agree,Average,Principal,,Collaborative learner,
5272502455,96128144,3/3/2017,3/3/2017,165.155.200.7,,,,,51321,Disagree,Developing,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Below Average,Assistant Principal,,"From my experience with Mr. Garfield I would recommend that he have a greater opportunity to understand the components of the Teaching Framework AND their implications for teaching and learning.  Unfortunately the onsite coach who has been assigned to support him has provided support in planning, instruction and environment.  However, on the three occasions that she was to view ( with administration) to provide informal feedback to support his professional growth, he called out.  Additionally he has been provided the opportunity to visit classrooms to view various components of Literacy instruction (Centers, Guided Reading ), however he has been unable to demonstrate that he is able to implement what he is learning within his own classroom.    Teaching Fellows need to have greater exposure to the reality of being in a school in addition to the theory behind what occurs.  ",It would be better if they had better experiential knowledge and understanding  of the responsibilities of a Teacher.  The reality of teaching is much more involved than many people may think it is.      
5272201971,96128144,3/3/2017,3/3/2017,165.155.200.10,,,,,51227,Agree,Developing,Agree,Agree,Agree,Agree,Average,Principal,,n/a,n/a
5271330541,96128144,3/3/2017,3/3/2017,100.2.129.54,,,,,51318,Strongly Agree,Effective,Strongly Agree,Agree,Agree,Agree,Above Average,Principal,,,
5271324396,96128144,3/3/2017,3/3/2017,100.33.47.30,,,,,51283,Somewhat Agree,Developing,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Average,Principal,,,
5271053334,96128144,3/2/2017,3/2/2017,165.155.208.22,,,,,51315,Strongly Agree,Effective,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Above Average,Principal,,Denique is extremely motivated to learn and supports improving students outcomes every day.,N/A
5270886259,96128144,3/2/2017,3/2/2017,165.155.200.16,,,,,51294,Agree,Developing,Agree,Agree,Agree,Agree,Above Average,Principal,,,
